date_time,h_r,p_f,p_r,f_p,f_r,c_p,c_r,t_f
2021-08-12T19:15:04Z,0.020289,0.70018,0.57927,2.266294,45.996919,318.24801,1.660919,20.704513
2021-08-12T19:15:05Z,0.020425,0.695577,0.571323,2.226172,46.11197,307.988038,1.732508,20.704513
2021-08-12T19:15:05Z,0.020555,0.694042,0.57843,2.222447,46.092367,299.159661,1.734546,20.657049
2021-08-12T19:15:05Z,0.020624,0.693477,0.573326,2.217312,46.140561,295.734252,1.738622,20.63979
2021-08-12T19:15:06Z,0.020696,0.69493,0.578107,2.21849,46.132844,282.955306,1.738622,20.618215
2021-08-12T19:15:06Z,0.020833,0.696869,0.578301,2.237046,46.221363,276.667751,1.738622,20.583696
2021-08-12T19:15:06Z,0.020901,0.694769,0.580498,2.234059,46.167416,267.63625,1.738622,20.575066
2021-08-12T19:15:07Z,0.020986,0.695011,0.571904,2.256213,46.246942,267.63625,1.738622,20.566437
2021-08-12T19:15:07Z,0.02111,0.695496,0.582824,2.280292,46.633219,267.63625,1.742698,20.523288
2021-08-12T19:15:08Z,0.021179,0.700584,0.581919,2.298536,46.518631,257.0995,1.742698,20.510343
2021-08-12T19:15:08Z,0.021317,0.70115,0.584956,2.301862,46.55204,257.0995,1.742698,20.488769
2021-08-12T19:15:08Z,0.021403,0.701069,0.587929,2.232025,46.824574,249.196937,1.741735,20.467194
2021-08-12T19:15:09Z,0.021528,0.702603,0.586313,2.232638,46.616436,247.691687,1.744736,20.449935
2021-08-12T19:15:09Z,0.021687,0.702684,0.58851,2.218651,46.69171,244.017508,1.743698,20.432675
2021-08-12T19:15:10Z,0.021806,0.692184,0.588122,2.241915,46.683077,228.518621,1.740413,20.402471
2021-08-12T19:15:10Z,0.021948,0.691296,0.578495,2.205666,46.786112,231.159023,1.744736,20.372267
2021-08-12T19:15:11Z,0.022088,0.687742,0.589415,2.203937,46.659528,224.209896,1.744736,20.367952
2021-08-12T19:15:11Z,0.022228,0.684511,0.58683,2.191334,46.494144,203.286809,1.626022,20.385211
